source_table,metric,value
raw_hydrograph_surrogate_decision_summary.json,decision,RAW_HYDROGRAPH_SURROGATE_TRANSITION_SUPPORTED
raw_hydrograph_surrogate_decision_summary.json,decision_reason,observed_delta_i_and_transition_gain_exceed_raw_q_surrogates
raw_hydrograph_surrogate_decision_summary.json,input_csv,Source_Data/supporting/xi_star_results.csv
raw_hydrograph_surrogate_decision_summary.json,n_basins,39
raw_hydrograph_surrogate_decision_summary.json,n_source_families,5
raw_hydrograph_surrogate_decision_summary.json,null_draws_per_family,99
raw_hydrograph_surrogate_decision_summary.json,observed_mean_delta_i,0.027915810004914478
raw_hydrograph_surrogate_decision_summary.json,max_null_mean_delta_i,0.0020667017608539326
raw_hydrograph_surrogate_decision_summary.json,observed_transition_gain_r2,0.20594573870175747
raw_hydrograph_surrogate_decision_summary.json,observed_linear_r2,0.4780301238547465
raw_hydrograph_surrogate_decision_summary.json,observed_transition_r2,0.683975862556504
raw_hydrograph_surrogate_decision_summary.json,support_left,20
raw_hydrograph_surrogate_decision_summary.json,support_right,19
raw_hydrograph_surrogate_decision_summary.json,all_null_families_mean_positive,True
raw_hydrograph_surrogate_decision_summary.json,all_null_families_transition_gt_ci95,True
raw_hydrograph_surrogate_decision_summary.json,all_null_families_transition_gt_median,True
transition_decision_summary.json,decision,CONTROLLED_TRANSITION_CANDIDATE_SUPPORT_LIMITED
transition_decision_summary.json,decision_reason,transition_gain_positive_but_not_decisive_against_ar_smooth
transition_decision_summary.json,input_csv,Source_Data/supporting/xi_star_results.csv
transition_decision_summary.json,upstream_stronger_null_dir,Source_Data/supporting
transition_decision_summary.json,n_basins,39
transition_decision_summary.json,n_source_families,5
transition_decision_summary.json,best_control_variable,kappa_pc1_persistence
transition_decision_summary.json,best_threshold_quantile,0.49999999999999994
transition_decision_summary.json,best_threshold_value_z,-0.25110234226704187
transition_decision_summary.json,best_transition_model,hinge
transition_decision_summary.json,best_linear_r2,0.47803012385474664
transition_decision_summary.json,best_transition_r2,0.6839758625565046
transition_decision_summary.json,best_transition_gain_r2,0.20594573870175792
transition_decision_summary.json,bootstrap_gain_ci05,0.012967721561158663
transition_decision_summary.json,bootstrap_gain_ci50,0.15891190193688332
transition_decision_summary.json,bootstrap_gain_ci95,0.38393257517364643
transition_decision_summary.json,ar_style_smooth_r2,0.6901798526976994
transition_decision_summary.json,support_left,19
transition_decision_summary.json,support_right,20
transition_decision_summary.json,source_families_left,4
transition_decision_summary.json,source_families_right,4
null_family_summary.csv,rows,3
control_variable_candidates.csv,rows,39
